police_station,day_of_week,hour,total_pcu_impact,raw_violation_count,two_wheeler_count,three_wheeler_count,heavy_vehicle_count,validation_approved_count,junction_violation_count,avg_offence_count,avg_violation_count,is_weekend,month,is_festival,is_second_saturday,lat_mean,lon_mean,two_wheeler_ratio,three_wheeler_ratio,heavy_vehicle_ratio,validation_ratio,junction_ratio,distance_to_cbd,hour_sin,hour_cos,day_sin,day_cos,zone_archetype,zone_archetype_code,weekend_surge_ratio,persistence_score,historical_violations,spatial_lag_pcu,spatial_lag_delta
Adugodi,0,10,57.25,78,41,1,0,14.0,18,1.0256410256410255,1.0256410256410255,0.0,2.0,0.0,0.0,12.933624717948717,77.62671699358975,0.5256410256410257,0.01282051282051282,0.0,0.1794871794871795,0.23076923076923078,5.472100612745339,0.49999999999999994,-0.8660254037844387,0.0,1.0,GENERAL,2,1.7113245702730029,1.0,3332,11.0,-46.25
Adugodi,0,11,63.75,98,69,1,0,36.0,54,1.0612244897959184,1.0612244897959184,0.0,4.0,0.0,0.0,12.934336187755102,77.6208970020408,0.7040816326530612,0.01020408163265306,0.0,0.3673469387755102,0.5510204081632653,5.028886687816517,0.258819045102521,-0.9659258262890682,0.0,1.0,GENERAL,2,1.7113245702730029,1.0,3332,22.625,-41.125
Adugodi,0,12,34.25,50,31,1,0,12.0,25,1.18,1.18,0.0,4.0,0.0,0.0,12.934320995999999,77.62187754600001,0.62,0.02,0.0,0.24,0.5,5.091227118129032,1.2246467991473532e-16,-1.0,0.0,1.0,GENERAL,2,1.7113245702730029,1.0,3332,2.25,-32.0
Adugodi,0,13,3.0,5,4,0,0,2.0,1,1.0,1.0,0.0,2.0,0.0,0.0,12.934065279999999,77.62671122,0.8,0.0,0.0,0.4,0.2,5.433984490984049,-0.2588190451025208,-0.9659258262890683,0.0,1.0,GENERAL,2,1.7113245702730029,1.0,3332,7.125,4.125
Adugodi,0,14,13.5,18,10,0,0,10.0,15,1.3888888888888888,1.3888888888888888,0.0,12.0,0.0,0.0,12.935692705555555,77.6175528888889,0.5555555555555556,0.0,0.0,0.5555555555555556,0.8333333333333334,4.704078986829807,-0.4999999999999997,-0.8660254037844388,0.0,1.0,GENERAL,2,1.7113245702730029,1.0,3332,2.75,-10.75
Adugodi,0,15,2.0,4,4,0,0,0.0,4,1.0,1.0,0.0,12.0,0.0,0.0,12.93573955,77.61150674999999,1.0,0.0,0.0,0.0,1.0,4.3882524496508335,-0.7071067811865471,-0.7071067811865479,0.0,1.0,GENERAL,2,1.7113245702730029,1.0,3332,0.0,-2.0
Adugodi,0,16,0.0,0,0,0,0,,0,,,,,,,,,,,,,,,-0.8660254037844385,-0.5000000000000004,0.0,1.0,GENERAL,2,1.7113245702730029,1.0,3332,0.0,0.0
Adugodi,0,17,1.75,2,0,1,0,0.0,2,2.0,2.0,0.0,7.5,0.0,0.0,12.93595665,77.6155325,0.0,0.5,0.0,0.0,1.0,4.566579417466846,-0.9659258262890683,-0.25881904510252063,0.0,1.0,GENERAL,2,1.7113245702730029,1.0,3332,0.0,-1.75
Adugodi,0,18,0.0,0,0,0,0,,0,,,,,,,,,,,,,,,-1.0,-1.8369701987210297e-16,0.0,1.0,GENERAL,2,1.7113245702730029,1.0,3332,0.0,0.0
Adugodi,0,19,1.75,2,0,1,0,0.0,2,3.5,3.5,0.0,4.0,0.0,0.0,12.9359614,77.61537394999999,0.0,0.5,0.0,0.0,1.0,4.557610092448054,-0.9659258262890684,0.2588190451025203,0.0,1.0,GENERAL,2,1.7113245702730029,1.0,3332,0.0,-1.75
Adugodi,0,20,0.0,0,0,0,0,,0,,,,,,,,,,,,,,,-0.8660254037844386,0.5000000000000001,0.0,1.0,GENERAL,2,1.7113245702730029,1.0,3332,0.0,0.0
Adugodi,0,21,0.0,0,0,0,0,,0,,,,,,,,,,,,,,,-0.7071067811865477,0.7071067811865474,0.0,1.0,GENERAL,2,1.7113245702730029,1.0,3332,0.0,0.0
Adugodi,0,22,0.0,0,0,0,0,,0,,,,,,,,,,,,,,,-0.5000000000000004,0.8660254037844384,0.0,1.0,GENERAL,2,1.7113245702730029,1.0,3332,0.0,0.0
Adugodi,0,23,0.0,0,0,0,0,,0,,,,,,,,,,,,,,,-0.25881904510252157,0.9659258262890681,0.0,1.0,GENERAL,2,1.7113245702730029,1.0,3332,0.0,0.0
Adugodi,1,0,1.5,1,0,0,1,0.0,0,2.0,2.0,0.0,2.0,0.0,0.0,12.9319911,77.6228521,0.0,0.0,1.0,0.0,0.0,5.36387269427195,0.0,1.0,0.7818314824680298,0.6234898018587336,GENERAL,2,1.7113245702730029,1.0,3332,1.25,-0.25
Adugodi,1,1,8.25,9,3,1,0,6.0,3,1.1111111111111112,1.1111111111111112,0.0,12.0,0.0,0.0,12.935598655555555,77.61975097777778,0.3333333333333333,0.1111111111111111,0.0,0.6666666666666666,0.3333333333333333,4.842896690506861,0.25881904510252074,0.9659258262890683,0.7818314824680298,0.6234898018587336,GENERAL,2,1.7113245702730029,1.0,3332,35.75,27.5
Adugodi,1,2,20.0,22,12,2,1,11.0,8,1.0454545454545454,1.0454545454545454,0.0,4.0,0.0,0.0,12.932723586363636,77.62504043636363,0.5454545454545454,0.09090909090909091,0.045454545454545456,0.5,0.36363636363636365,5.43769852038814,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,GENERAL,2,1.7113245702730029,1.0,3332,30.25,10.25
Adugodi,1,3,27.5,34,17,2,1,16.0,21,1.0,1.0,0.0,11.5,0.0,0.0,12.936446629411765,77.61901961470588,0.5,0.058823529411764705,0.029411764705882353,0.47058823529411764,0.6176470588235294,4.720366739225962,0.7071067811865476,0.7071067811865476,0.7818314824680298,0.6234898018587336,GENERAL,2,1.7113245702730029,1.0,3332,29.125,1.625
Adugodi,1,4,36.5,52,32,2,1,23.0,13,1.0576923076923077,1.0576923076923077,0.0,4.0,0.0,0.0,12.935121284615384,77.62271474230769,0.6153846153846154,0.038461538461538464,0.019230769230769232,0.4423076923076923,0.25,5.0729977429566375,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,GENERAL,2,1.7113245702730029,1.0,3332,50.375,13.875
Adugodi,1,5,48.25,52,18,3,1,22.0,18,1.0384615384615385,1.0384615384615385,0.0,3.0,0.0,0.0,12.933988325,77.62336527692308,0.34615384615384615,0.057692307692307696,0.019230769230769232,0.4230769230769231,0.34615384615384615,5.2161047968251415,0.9659258262890683,0.25881904510252074,0.7818314824680298,0.6234898018587336,GENERAL,2,1.7113245702730029,1.0,3332,18.625,-29.625
Adugodi,1,6,20.25,22,5,1,1,1.0,5,1.1363636363636365,1.1363636363636365,0.0,3.0,0.0,0.0,12.930644781818183,77.62552652272727,0.22727272727272727,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.22727272727272727,5.654278423021156,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,GENERAL,2,1.7113245702730029,1.0,3332,10.5,-9.75
Adugodi,1,7,33.5,45,21,4,0,12.0,30,1.1333333333333333,1.1333333333333333,0.0,3.0,0.0,0.0,12.93342866888889,77.61986056,0.4666666666666667,0.08888888888888889,0.0,0.26666666666666666,0.6666666666666666,5.050610500121895,0.9659258262890683,-0.25881904510252063,0.7818314824680298,0.6234898018587336,GENERAL,2,1.7113245702730029,1.0,3332,10.125,-23.375
Adugodi,1,8,16.75,21,8,3,0,9.0,12,1.0952380952380953,1.0952380952380953,0.0,3.0,0.0,0.0,12.935638571428573,77.6177652047619,0.38095238095238093,0.14285714285714285,0.0,0.42857142857142855,0.5714285714285714,4.7213819414929254,0.8660254037844387,-0.4999999999999998,0.7818314824680298,0.6234898018587336,GENERAL,2,1.7113245702730029,1.0,3332,8.5,-8.25
Adugodi,1,9,8.5,10,3,0,0,2.0,7,1.1,1.1,0.0,2.0,0.0,0.0,12.936341529999998,77.61644204000001,0.3,0.0,0.0,0.2,0.7,4.5796393393349755,0.7071067811865476,-0.7071067811865475,0.7818314824680298,0.6234898018587336,GENERAL,2,1.7113245702730029,1.0,3332,8.5,0.0
Adugodi,1,10,20.25,18,1,3,0,11.0,9,1.0,1.0,0.0,2.0,0.0,0.0,12.935014833333334,77.62128946666667,0.05555555555555555,0.16666666666666666,0.0,0.6111111111111112,0.5,4.991414019776048,0.49999999999999994,-0.8660254037844387,0.7818314824680298,0.6234898018587336,GENERAL,2,1.7113245702730029,1.0,3332,34.625,14.375
Adugodi,1,11,43.5,63,39,0,0,27.0,31,1.0,1.0,0.0,3.0,0.0,0.0,12.93546946031746,77.62019625555556,0.6190476190476191,0.0,0.0,0.42857142857142855,0.49206349206349204,4.8820312484787065,0.258819045102521,-0.9659258262890682,0.7818314824680298,0.6234898018587336,GENERAL,2,1.7113245702730029,1.0,3332,21.0,-22.5
Adugodi,1,12,22.0,31,17,2,0,2.0,24,1.032258064516129,1.032258064516129,0.0,2.0,0.0,0.0,12.935443687096775,77.61796344838709,0.5483870967741935,0.06451612903225806,0.0,0.06451612903225806,0.7741935483870968,4.751162578988697,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336,GENERAL,2,1.7113245702730029,1.0,3332,15.125,-6.875
Adugodi,1,13,18.0,27,19,0,1,5.0,9,1.037037037037037,1.037037037037037,0.0,4.0,0.0,0.0,12.938452844444443,77.6190777814815,0.7037037037037037,0.0,0.037037037037037035,0.18518518518518517,0.3333333333333333,4.541032749130632,-0.2588190451025208,-0.9659258262890683,0.7818314824680298,0.6234898018587336,GENERAL,2,1.7113245702730029,1.0,3332,23.125,5.125
Adugodi,1,14,2.75,5,4,1,0,0.0,1,1.0,1.0,0.0,3.0,0.0,0.0,12.93974934,77.6213388,0.8,0.2,0.0,0.0,0.2,4.575898551210246,-0.4999999999999997,-0.8660254037844388,0.7818314824680298,0.6234898018587336,GENERAL,2,1.7113245702730029,1.0,3332,4.625,1.875
Adugodi,1,15,1.0,1,0,0,0,0.0,0,1.0,1.0,0.0,2.0,0.0,0.0,12.9363752,77.6167292,0.0,0.0,0.0,0.0,0.0,4.592605927033972,-0.7071067811865471,-0.7071067811865479,0.7818314824680298,0.6234898018587336,GENERAL,2,1.7113245702730029,1.0,3332,1.0,0.0
Adugodi,1,16,0.0,0,0,0,0,,0,,,,,,,,,,,,,,,-0.8660254037844385,-0.5000000000000004,0.7818314824680298,0.6234898018587336,GENERAL,2,1.7113245702730029,1.0,3332,0.0,0.0
Adugodi,1,17,0.0,0,0,0,0,,0,,,,,,,,,,,,,,,-0.9659258262890683,-0.25881904510252063,0.7818314824680298,0.6234898018587336,GENERAL,2,1.7113245702730029,1.0,3332,0.0,0.0
Adugodi,1,18,0.5,1,1,0,0,0.0,1,1.0,1.0,0.0,2.0,0.0,0.0,12.9363228,77.6164216,1.0,0.0,0.0,0.0,1.0,4.580278524527232,-1.0,-1.8369701987210297e-16,0.7818314824680298,0.6234898018587336,GENERAL,2,1.7113245702730029,1.0,3332,0.0,-0.5
Adugodi,1,19,0.0,0,0,0,0,,0,,,,,,,,,,,,,,,-0.9659258262890684,0.2588190451025203,0.7818314824680298,0.6234898018587336,GENERAL,2,1.7113245702730029,1.0,3332,0.0,0.0
Adugodi,1,20,0.0,0,0,0,0,,0,,,,,,,,,,,,,,,-0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,GENERAL,2,1.7113245702730029,1.0,3332,0.0,0.0
Adugodi,1,21,0.0,0,0,0,0,,0,,,,,,,,,,,,,,,-0.7071067811865477,0.7071067811865474,0.7818314824680298,0.6234898018587336,GENERAL,2,1.7113245702730029,1.0,3332,0.0,0.0
Adugodi,1,22,0.0,0,0,0,0,,0,,,,,,,,,,,,,,,-0.5000000000000004,0.8660254037844384,0.7818314824680298,0.6234898018587336,GENERAL,2,1.7113245702730029,1.0,3332,0.0,0.0
Adugodi,1,23,0.0,0,0,0,0,,0,,,,,,,,,,,,,,,-0.25881904510252157,0.9659258262890681,0.7818314824680298,0.6234898018587336,GENERAL,2,1.7113245702730029,1.0,3332,2.25,2.25
Adugodi,2,0,0.5,1,1,0,0,0.0,1,1.0,1.0,0.0,2.0,0.0,0.0,12.9360692,77.6156219,1.0,0.0,0.0,0.0,1.0,4.560553016578787,0.0,1.0,0.9749279121818236,-0.22252093395631434,GENERAL,2,1.7113245702730029,1.0,3332,1.375,0.875
Adugodi,2,1,43.5,42,8,0,2,1.0,8,1.0238095238095237,1.0238095238095237,0.0,2.0,0.0,0.0,12.933793240476191,77.62720351666667,0.19047619047619047,0.0,0.047619047619047616,0.023809523809523808,0.19047619047619047,5.491424201353753,0.25881904510252074,0.9659258262890683,0.9749279121818236,-0.22252093395631434,GENERAL,2,1.7113245702730029,1.0,3332,0.5,-43.0
Adugodi,2,2,27.0,32,13,0,1,1.0,8,1.0625,1.0625,0.0,2.0,0.0,0.0,12.934161748338106,77.62686343609957,0.40625,0.0,0.03125,0.03125,0.25,5.436343122017637,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,GENERAL,2,1.7113245702730029,1.0,3332,27.625,0.625
Adugodi,2,3,27.5,32,11,0,0,8.0,12,1.0,1.0,0.0,4.0,0.0,0.0,12.936353221875,77.619477246875,0.34375,0.0,0.0,0.25,0.375,4.756899315192907,0.7071067811865476,0.7071067811865476,0.9749279121818236,-0.22252093395631434,GENERAL,2,1.7113245702730029,1.0,3332,30.875,3.375
Adugodi,2,4,25.5,36,20,6,0,12.0,13,1.0833333333333333,1.0833333333333333,0.0,3.5,0.0,0.0,12.937149875,77.62035616944445,0.5555555555555556,0.16666666666666666,0.0,0.3333333333333333,0.3611111111111111,4.739635365758802,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,GENERAL,2,1.7113245702730029,1.0,3332,16.625,-8.875
Adugodi,2,5,13.75,19,12,1,0,8.0,10,1.0526315789473684,1.0526315789473684,0.0,4.0,0.0,0.0,12.939044315789474,77.61781454736843,0.631578947368421,0.05263157894736842,0.0,0.42105263157894735,0.5263157894736842,4.40828773996045,0.9659258262890683,0.25881904510252074,0.9749279121818236,-0.22252093395631434,GENERAL,2,1.7113245702730029,1.0,3332,8.75,-5.0
Adugodi,2,6,7.0,8,3,0,0,4.0,4,1.0,1.0,0.0,7.0,0.0,0.0,12.9378958875,77.6160467,0.375,0.0,0.0,0.5,0.5,4.409845170003506,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,GENERAL,2,1.7113245702730029,1.0,3332,15.0,8.0
Adugodi,2,7,13.0,20,14,2,0,3.0,11,1.0,1.0,0.0,3.0,0.0,0.0,12.936353015,77.61911501,0.7,0.1,0.0,0.15,0.55,4.7347829362493865,0.9659258262890683,-0.25881904510252063,0.9749279121818236,-0.22252093395631434,GENERAL,2,1.7113245702730029,1.0,3332,10.75,-2.25
Adugodi,2,8,19.0,25,12,4,0,12.0,20,1.04,1.04,0.0,3.0,0.0,0.0,12.934434008,77.61791963600001,0.48,0.16,0.0,0.48,0.8,4.8440590873144105,0.8660254037844387,-0.4999999999999998,0.9749279121818236,-0.22252093395631434,GENERAL,2,1.7113245702730029,1.0,3332,27.625,8.625
Adugodi,2,9,53.5,79,51,0,0,33.0,64,1.1518987341772151,1.1518987341772151,0.0,3.0,0.0,0.0,12.934581569620253,77.61886739620253,0.6455696202531646,0.0,0.0,0.4177215189873418,0.810126582278481,4.884586029162278,0.7071067811865476,-0.7071067811865475,0.9749279121818236,-0.22252093395631434,GENERAL,2,1.7113245702730029,1.0,3332,12.625,-40.875
Adugodi,2,10,38.25,61,45,3,0,9.0,34,1.098360655737705,1.098360655737705,0.0,2.0,0.0,0.0,12.933781563934426,77.62150662950819,0.7377049180327869,0.04918032786885246,0.0,0.14754098360655737,0.5573770491803278,5.117174967982583,0.49999999999999994,-0.8660254037844387,0.9749279121818236,-0.22252093395631434,GENERAL,2,1.7113245702730029,1.0,3332,15.25,-23.0
Adugodi,2,11,24.0,33,17,2,0,9.0,18,1.0606060606060606,1.0606060606060606,0.0,2.0,0.0,0.0,12.935754433333333,77.61976643333333,0.5151515151515151,0.06060606060606061,0.0,0.2727272727272727,0.5454545454545454,4.829533393976949,0.258819045102521,-0.9659258262890682,0.9749279121818236,-0.22252093395631434,GENERAL,2,1.7113245702730029,1.0,3332,39.0,15.0
Adugodi,2,12,16.0,22,14,0,1,11.0,19,1.0454545454545454,1.0454545454545454,0.0,2.0,0.0,0.0,12.936532304545455,77.61478936363636,0.6363636363636364,0.0,0.045454545454545456,0.5,0.8636363636363636,4.471184323006477,1.2246467991473532e-16,-1.0,0.9749279121818236,-0.22252093395631434,GENERAL,2,1.7113245702730029,1.0,3332,12.75,-3.25
Adugodi,2,13,17.25,27,20,1,0,7.0,14,1.0740740740740742,1.0740740740740742,0.0,3.0,0.0,0.0,12.936081214814815,77.61788077777777,0.7407407407407407,0.037037037037037035,0.0,0.25925925925925924,0.5185185185185185,4.686497805653369,-0.2588190451025208,-0.9659258262890683,0.9749279121818236,-0.22252093395631434,GENERAL,2,1.7113245702730029,1.0,3332,20.125,2.875
Adugodi,2,14,1.5,3,3,0,0,3.0,0,1.0,1.0,0.0,12.0,0.0,0.0,12.937137100000001,77.62705923333333,1.0,0.0,0.0,1.0,0.0,5.20167100028015,-0.4999999999999997,-0.8660254037844388,0.9749279121818236,-0.22252093395631434,GENERAL,2,1.7113245702730029,1.0,3332,3.25,1.75
Adugodi,2,15,7.5,12,9,0,0,0.0,12,1.0833333333333333,1.0833333333333333,0.0,2.0,0.0,0.0,12.935761491666668,77.615302075,0.75,0.0,0.0,0.0,1.0,4.573125723374223,-0.7071067811865471,-0.7071067811865479,0.9749279121818236,-0.22252093395631434,GENERAL,2,1.7113245702730029,1.0,3332,0.5,-7.0
Adugodi,2,16,0.0,0,0,0,0,,0,,,,,,,,,,,,,,,-0.8660254037844385,-0.5000000000000004,0.9749279121818236,-0.22252093395631434,GENERAL,2,1.7113245702730029,1.0,3332,0.5,0.5
Adugodi,2,17,0.0,0,0,0,0,,0,,,,,,,,,,,,,,,-0.9659258262890683,-0.25881904510252063,0.9749279121818236,-0.22252093395631434,GENERAL,2,1.7113245702730029,1.0,3332,0.0,0.0
Adugodi,2,18,0.0,0,0,0,0,,0,,,,,,,,,,,,,,,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434,GENERAL,2,1.7113245702730029,1.0,3332,0.0,0.0
Adugodi,2,19,0.0,0,0,0,0,,0,,,,,,,,,,,,,,,-0.9659258262890684,0.2588190451025203,0.9749279121818236,-0.22252093395631434,GENERAL,2,1.7113245702730029,1.0,3332,0.0,0.0
Adugodi,2,20,0.0,0,0,0,0,,0,,,,,,,,,,,,,,,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,GENERAL,2,1.7113245702730029,1.0,3332,0.0,0.0
Adugodi,2,21,0.0,0,0,0,0,,0,,,,,,,,,,,,,,,-0.7071067811865477,0.7071067811865474,0.9749279121818236,-0.22252093395631434,GENERAL,2,1.7113245702730029,1.0,3332,0.0,0.0
Adugodi,2,22,0.0,0,0,0,0,,0,,,,,,,,,,,,,,,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434,GENERAL,2,1.7113245702730029,1.0,3332,0.0,0.0
Adugodi,2,23,0.0,0,0,0,0,,0,,,,,,,,,,,,,,,-0.25881904510252157,0.9659258262890681,0.9749279121818236,-0.22252093395631434,GENERAL,2,1.7113245702730029,1.0,3332,0.0,0.0
Adugodi,3,0,4.5,1,0,0,1,0.0,0,3.0,3.0,0.0,3.0,0.0,0.0,12.9369543,77.6173549,0.0,0.0,1.0,0.0,0.0,4.574004810565357,0.0,1.0,0.43388373911755823,-0.900968867902419,GENERAL,2,1.7113245702730029,1.0,3332,2.375,-2.125
Adugodi,3,1,4.0,4,0,0,0,4.0,0,1.0,1.0,0.0,3.0,0.0,0.0,12.93592305,77.622209775,0.0,0.0,0.0,1.0,0.0,4.968857006837377,0.25881904510252074,0.9659258262890683,0.43388373911755823,-0.900968867902419,GENERAL,2,1.7113245702730029,1.0,3332,34.0,30.0
Adugodi,3,2,42.75,45,8,9,1,21.0,9,2.022222222222222,2.022222222222222,0.0,3.0,0.0,0.0,12.936779613333334,77.62097610444445,0.17777777777777778,0.2,0.022222222222222223,0.4666666666666667,0.2,4.812566258984515,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,GENERAL,2,1.7113245702730029,1.0,3332,23.375,-19.375
Adugodi,3,3,34.25,40,14,1,1,13.0,23,1.025,1.025,0.0,3.0,0.0,0.0,12.9375840925,77.613802035,0.35,0.025,0.025,0.325,0.575,4.316984256602908,0.7071067811865476,0.7071067811865476,0.43388373911755823,-0.900968867902419,GENERAL,2,1.7113245702730029,1.0,3332,40.75,6.5
Adugodi,3,4,51.75,57,17,3,1,30.0,6,1.1403508771929824,1.1403508771929824,0.0,4.0,0.0,0.0,12.93347058245614,77.62519485438597,0.2982456140350877,0.05263157894736842,0.017543859649122806,0.5263157894736842,0.10526315789473684,5.382190812074642,0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,GENERAL,2,1.7113245702730029,1.0,3332,17.0,-34.75
Adugodi,3,5,31.0,45,31,2,0,34.0,24,1.2,1.2,0.0,3.0,0.0,0.0,12.935996793333334,77.61951228888888,0.6888888888888889,0.044444444444444446,0.0,0.7555555555555555,0.5333333333333333,4.79174553131602,0.9659258262890683,0.25881904510252074,0.43388373911755823,-0.900968867902419,GENERAL,2,1.7113245702730029,1.0,3332,15.0,-16.0
Adugodi,3,6,9.0,11,5,2,0,7.0,7,1.0,1.0,0.0,3.0,0.0,0.0,12.936082681818181,77.61748208181818,0.45454545454545453,0.18181818181818182,0.0,0.6363636363636364,0.6363636363636364,4.663243923235595,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,GENERAL,2,1.7113245702730029,1.0,3332,29.375,20.375
Adugodi,3,7,15.75,21,12,1,0,2.0,15,1.0952380952380953,1.0952380952380953,0.0,3.0,0.0,0.0,12.93592787142857,77.61688860952381,0.5714285714285714,0.047619047619047616,0.0,0.09523809523809523,0.7142857142857143,4.6440619976851565,0.9659258262890683,-0.25881904510252063,0.43388373911755823,-0.900968867902419,GENERAL,2,1.7113245702730029,1.0,3332,12.0,-3.75
Adugodi,3,8,29.75,36,12,1,0,22.0,20,1.0833333333333333,1.0833333333333333,0.0,3.0,0.0,0.0,12.933425388888889,77.61998325,0.3333333333333333,0.027777777777777776,0.0,0.6111111111111112,0.5555555555555556,5.058134884076766,0.8660254037844387,-0.4999999999999998,0.43388373911755823,-0.900968867902419,GENERAL,2,1.7113245702730029,1.0,3332,3.875,-25.875
Adugodi,3,9,9.75,11,3,1,0,0.0,1,1.0,1.0,0.0,3.0,0.0,0.0,12.932439572727274,77.6272416909091,0.2727272727272727,0.09090909090909091,0.0,0.0,0.09090909090909091,5.6101041876892515,0.7071067811865476,-0.7071067811865475,0.43388373911755823,-0.900968867902419,GENERAL,2,1.7113245702730029,1.0,3332,13.5,3.75
Adugodi,3,10,24.0,29,9,2,0,6.0,9,1.0344827586206897,1.0344827586206897,0.0,2.0,0.0,0.0,12.934052955172413,77.62484018275863,0.3103448275862069,0.06896551724137931,0.0,0.20689655172413793,0.3103448275862069,5.307509681096328,0.49999999999999994,-0.8660254037844387,0.43388373911755823,-0.900968867902419,GENERAL,2,1.7113245702730029,1.0,3332,23.875,-0.125
Adugodi,3,11,16.0,24,16,0,0,6.0,9,1.0,1.0,0.0,2.0,0.0,0.0,12.934701808333335,77.62235497916667,0.6666666666666666,0.0,0.0,0.25,0.375,5.087225139830209,0.258819045102521,-0.9659258262890682,0.43388373911755823,-0.900968867902419,GENERAL,2,1.7113245702730029,1.0,3332,43.75,27.75
